Wahlausgang 2021;;;;;Erststimmen;;;;;;
Wahlkreis;Wahlberechtigte;Wählende;Gültig;Ungültig;CDU;DIE LINKE;SPD;GRÜNE;AfD;FDP;Sonstige
45;30574;23841;23569;272;7007;977;6046;4340;1097;2878;1224
42;30949;24748;24460;288;6634;1150;6662;4976;1121;2565;1352
67;30089;25912;25671;241;8591;748;5460;5831;1066;2691;1284
44;32106;25117;24824;293;5008;1425;6870;6667;944;2598;1312
126;28220;24353;23958;395;8169;677;5337;4374;1398;2373;1630
63;33692;28084;27760;324;8280;931;6805;6292;1295;2693;1464
123;30489;24399;23982;417;7181;787;6128;3532;1919;2316;2119
66;31637;26699;26392;307;8249;1024;5965;6128;1123;2525;1378
85;33352;24688;24099;589;6528;1177;6996;2733;2376;2275;2014
86;32878;24546;23901;645;7544;942;6642;2081;2630;2238;1824
55;32006;25011;24537;474;7512;825;7580;2944;2027;2269;1380
76;32143;23761;23256;505;7661;837;6042;2889;2040;2145;1642
124;33852;25382;24804;578;6320;1149;6567;3531;2458;2262;2517
11;30844;25540;25349;191;3963;2568;4697;9206;867;2291;1757
46;31618;24904;24529;375;4852;1543;7114;6548;923;2189;1360
65;29803;22528;22078;450;6189;991;5936;3589;1655;1970;1748
47;32503;26054;25744;310;5708;1399;7551;5967;1233;2284;1602
54;31533;22727;22147;580;5687;922;7667;1948;2409;1964;1550
64;29223;23027;22654;373;6752;833;6037;4080;1470;2003;1479
32;33155;25609;25229;380;4593;3183;6019;4303;2887;2170;2074
77;32662;25055;24599;456;9015;792;6001;2917;2099;2113;1662
75;32978;23514;23053;461;5855;1335;6557;3531;1835;1951;1989
41;28879;20390;19777;613;3568;1639;5901;4117;1478;1669;1405
53;32458;22167;21598;569;4436;1443;7121;2745;2197;1815;1841
31;34791;25579;25095;484;4488;3351;6200;2987;3701;2083;2285
62;31292;24825;24440;385;5329;1481;6558;5815;1407;2028;1822
51;34053;23062;22385;677;4923;1239;7600;2332;2534;1839;1918
125;26704;17019;16429;590;4422;820;4667;1404;2118;1332;1666
84;33002;22018;21330;688;5959;1136;6601;1604;2353;1718;1959
12;33363;26087;25733;354;4147;4377;5813;5903;1659;2052;1782
61;32078;26166;25825;341;5569;1447;6704;7138;1205;2057;1705
43;31034;24993;24694;299;4088;1859;6907;7498;906;1957;1479
52;29338;19263;18699;564;3789;1152;6366;2129;2117;1447;1699
122;28814;19273;18722;551;4578;1083;4941;2260;2326;1432;2102
38;29440;24561;24245;316;2050;3850;3950;9943;845;1797;1810
13;30174;23210;22884;326;3624;2255;5510;7472;911;1680;1432
112;33320;24215;23745;470;3826;5738;4739;2074;3347;1734;2287
34;28978;21802;21473;329;3463;3333;5185;3238;2715;1528;2011
73;33762;28113;27798;315;4444;1561;7558;9787;949;1928;1571
121;28506;18151;17731;420;3563;1591;4805;2520;2030;1212;2010
94;36006;27976;27612;364;4203;9515;4136;2589;3168;1844;2157
93;35563;26763;26283;480;4298;7744;4423;2027;3763;1753;2275
71;34172;26476;26133;343;3886;2049;7149;8900;942;1738;1469
74;32794;25063;24694;369;4604;1889;6831;6470;1317;1614;1969
116;30974;25029;24678;351;2989;6316;4688;4691;2030;1597;2367
24;28504;22124;21829;295;2110;4684;4340;5793;1316;1368;2218
96;33959;27293;26880;413;3739;10082;4083;2893;2665;1665;1753
113;34358;23456;22932;524;2799;5979;4950;2587;2885;1419;2313
95;29932;22756;22331;425;3060;7826;3630;1449;3140;1375;1851
37;30217;23850;23503;347;2082;4348;4511;7203;1623;1446;2290
33;33430;26487;26139;348;3000;4536;5744;6998;2122;1593;2146
39;33394;25599;25234;365;2509;4344;5204;7452;1722;1528;2475
26;28352;23863;23684;179;1594;4080;3206;9993;700;1434;2677
111;33914;22582;22017;565;3330;5007;4552;1302;4227;1269;2330
35;30427;23342;23012;330;2614;4401;5176;5253;2126;1320;2122
36;31276;26183;25962;221;1761;4647;4319;11197;814;1458;1766
15;27997;19174;18765;409;2658;2477;4964;4529;1483;1038;1616
17;28450;18982;18576;406;2031;3003;4528;5451;973;1026;1564
14;29437;21895;21585;310;2067;3175;4700;7909;866;1181;1687
92;35678;26602;26202;400;3177;9698;4002;2720;2892;1433;2280
115;34014;25024;24587;437;2384;6653;4630;4202;2579;1335;2804
114;34093;25263;24838;425;2367;7120;4481;4629;2288;1328;2625
21;29423;22940;22670;270;1854;2988;4389;9792;499;1205;1943
25;29129;23878;23704;174;1395;4508;3471;9501;848;1233;2748
72;32989;26053;25716;337;2935;2210;7313;9527;823;1333;1575
101;31548;18815;18313;502;3325;4175;3049;966;4055;948;1795
83;33294;21153;20592;561;2637;3713;5363;4489;1311;1010;2069
103;33210;20247;19779;468;3754;4446;3392;1045;4161;960;2021
104;34953;26608;26135;473;8217;5947;3782;2054;3154;1253;1728
106;31384;20801;20342;459;5365;4597;3208;1141;3364;938;1729
16;27218;17618;17318;300;1512;3436;3860;5400;838;770;1502
91;35989;27358;26931;427;2665;10507;3859;4459;2189;1165;2087
105;33739;28761;28408;353;13877;4636;2804;2015;2603;1188;1285
102;33154;21901;21373;528;5005;5587;3657;1095;3573;893;1563
23;28501;20473;20123;350;1525;3468;4023;7763;530;828;1986
22;26644;20815;20571;244;1037;3951;3013;9527;392;727;1924
81;32225;24143;23812;331;1576;5487;5014;8354;739;738;1904
82;32286;23164;22811;353;1333;5443;4914;7843;744;656;1878
Gesamt;2468919;1856903;1825272;31631;344838;260242;417163;380581;147134;129678;145636
